Date,Place,Price
2019-04-01,Eden,229074
2020-04-01,Eden,218226
2021-04-01,Eden,246145
2019-08-01,Eden,214573
2020-08-01,Eden,250761
2021-08-01,Eden,208271
2019-12-01,Eden,222666
2020-12-01,Eden,264573
2019-02-01,Eden,222428
2020-02-01,Eden,216829
2021-02-01,Eden,254236
2019-01-01,Eden,188770
2020-01-01,Eden,244445
2021-01-01,Eden,266981
2019-07-01,Eden,264350
2020-07-01,Eden,230032
2021-07-01,Eden,200219
2019-06-01,Eden,229324
2020-06-01,Eden,243338
2021-06-01,Eden,292325
2019-03-01,Eden,235720
2020-03-01,Eden,225518
2021-03-01,Eden,270948
2019-05-01,Eden,230082
2020-05-01,Eden,223991
2021-05-01,Eden,259071
2019-11-01,Eden,232843
2020-11-01,Eden,250714
2019-10-01,Eden,236789
2020-10-01,Eden,248662
2019-09-01,Eden,242926
2020-09-01,Eden,226831
2021-09-01,Eden,301385
2019-04-01,Richmondshire,225287
2020-04-01,Richmondshire,223927
2021-04-01,Richmondshire,262802
2019-08-01,Richmondshire,254150
2020-08-01,Richmondshire,259419
2021-08-01,Richmondshire,292658
2019-12-01,Richmondshire,215141
2020-12-01,Richmondshire,296742
2019-02-01,Richmondshire,211822
2020-02-01,Richmondshire,224772
2021-02-01,Richmondshire,269188
2019-01-01,Richmondshire,269124
2020-01-01,Richmondshire,246850
2021-01-01,Richmondshire,280163
2019-07-01,Richmondshire,242809
2020-07-01,Richmondshire,205749
2021-07-01,Richmondshire,286115
2019-06-01,Richmondshire,260329
2020-06-01,Richmondshire,265564
2021-06-01,Richmondshire,349197
2019-03-01,Richmondshire,204887
2020-03-01,Richmondshire,252513
2021-03-01,Richmondshire,265357
2019-05-01,Richmondshire,249456
2020-05-01,Richmondshire,210150
2021-05-01,Richmondshire,291624
2019-11-01,Richmondshire,227243
2020-11-01,Richmondshire,274219
2019-10-01,Richmondshire,241233
2020-10-01,Richmondshire,265593
2019-09-01,Richmondshire,230758
2020-09-01,Richmondshire,272217
2021-09-01,Richmondshire,252499
2019-04-01,Ryedale,240185
2020-04-01,Ryedale,307910
2021-04-01,Ryedale,270947
2019-08-01,Ryedale,258629
2020-08-01,Ryedale,291057
2021-08-01,Ryedale,307044
2019-12-01,Ryedale,227356
2020-12-01,Ryedale,294027
2019-02-01,Ryedale,285837
2020-02-01,Ryedale,227160
2021-02-01,Ryedale,310285
2019-01-01,Ryedale,223372
2020-01-01,Ryedale,291076
2021-01-01,Ryedale,302045
2019-07-01,Ryedale,273788
2020-07-01,Ryedale,252611
2021-07-01,Ryedale,267350
2019-06-01,Ryedale,259549
2020-06-01,Ryedale,271007
2021-06-01,Ryedale,355392
2019-03-01,Ryedale,248015
2020-03-01,Ryedale,265408
2021-03-01,Ryedale,325822
2019-05-01,Ryedale,227032
2020-05-01,Ryedale,273059
2021-05-01,Ryedale,227119
2019-11-01,Ryedale,249630
2020-11-01,Ryedale,340325
2019-10-01,Ryedale,272513
2020-10-01,Ryedale,277910
2021-10-01,Ryedale,850000
2019-09-01,Ryedale,277925
2020-09-01,Ryedale,281546
2021-09-01,Ryedale,232875
2019-04-01,Scarborough,182970
2020-04-01,Scarborough,155367
2021-04-01,Scarborough,200202
2019-08-01,Scarborough,182224
2020-08-01,Scarborough,206833
2021-08-01,Scarborough,183303
2019-12-01,Scarborough,171976
2020-12-01,Scarborough,207363
2019-02-01,Scarborough,169622
2020-02-01,Scarborough,187227
2021-02-01,Scarborough,202473
2019-01-01,Scarborough,180115
2020-01-01,Scarborough,181153
2021-01-01,Scarborough,225865
2019-07-01,Scarborough,178236
2020-07-01,Scarborough,190884
2021-07-01,Scarborough,173955
2019-06-01,Scarborough,172558
2020-06-01,Scarborough,176543
2021-06-01,Scarborough,226381
2019-03-01,Scarborough,175477
2020-03-01,Scarborough,196729
2021-03-01,Scarborough,209898
2019-05-01,Scarborough,175600
2020-05-01,Scarborough,164861
2021-05-01,Scarborough,189364
2019-11-01,Scarborough,181843
2020-11-01,Scarborough,209192
2019-10-01,Scarborough,176305
2020-10-01,Scarborough,202777
2021-10-01,Scarborough,171375
2019-09-01,Scarborough,172412
2020-09-01,Scarborough,199002
2021-09-01,Scarborough,212512
2019-04-01,SouthLakeland,297095
2020-04-01,SouthLakeland,322638
2021-04-01,SouthLakeland,307491
2019-08-01,SouthLakeland,275582
2020-08-01,SouthLakeland,287046
2021-08-01,SouthLakeland,290245
2019-12-01,SouthLakeland,266465
2020-12-01,SouthLakeland,302877
2019-02-01,SouthLakeland,251653
2020-02-01,SouthLakeland,248856
2021-02-01,SouthLakeland,338474
2019-01-01,SouthLakeland,252988
2020-01-01,SouthLakeland,302415
2021-01-01,SouthLakeland,288241
2019-07-01,SouthLakeland,291763
2020-07-01,SouthLakeland,292824
2021-07-01,SouthLakeland,228240
2019-06-01,SouthLakeland,279718
2020-06-01,SouthLakeland,252383
2021-06-01,SouthLakeland,354592
2019-03-01,SouthLakeland,257277
2020-03-01,SouthLakeland,291766
2021-03-01,SouthLakeland,319379
2019-05-01,SouthLakeland,300560
2020-05-01,SouthLakeland,282370
2021-05-01,SouthLakeland,300979
2019-11-01,SouthLakeland,290881
2020-11-01,SouthLakeland,300475
2019-10-01,SouthLakeland,271274
2020-10-01,SouthLakeland,307827
2021-10-01,SouthLakeland,122500
2019-09-01,SouthLakeland,306220
2020-09-01,SouthLakeland,300048
2021-09-01,SouthLakeland,256720
2019-04-01,Craven,251175
2020-04-01,Craven,249810
2021-04-01,Craven,267963
2019-08-01,Craven,272632
2020-08-01,Craven,267269
2021-08-01,Craven,280199
2019-12-01,Craven,249007
2020-12-01,Craven,254906
2019-02-01,Craven,250091
2020-02-01,Craven,248555
2021-02-01,Craven,265566
2019-01-01,Craven,280310
2020-01-01,Craven,238137
2021-01-01,Craven,255255
2019-07-01,Craven,244606
2020-07-01,Craven,215925
2021-07-01,Craven,284806
2019-06-01,Craven,268848
2020-06-01,Craven,267621
2021-06-01,Craven,276687
2019-03-01,Craven,282602
2020-03-01,Craven,302998
2021-03-01,Craven,265097
2019-05-01,Craven,290690
2020-05-01,Craven,231120
2021-05-01,Craven,259777
2019-11-01,Craven,282053
2020-11-01,Craven,276617
2019-10-01,Craven,258998
2020-10-01,Craven,320531
2021-10-01,Craven,241633
2019-09-01,Craven,216709
2020-09-01,Craven,280456
2021-09-01,Craven,222500
