Date,Year,NewReferrals
2019-01-01,Armagh City Banbridge and Craigavon,120820
2019-02-01,Armagh City Banbridge and Craigavon,120820
2019-03-01,Armagh City Banbridge and Craigavon,120820
2019-04-01,Armagh City Banbridge and Craigavon,119928
2019-05-01,Armagh City Banbridge and Craigavon,119928
2019-06-01,Armagh City Banbridge and Craigavon,119928
2019-07-01,Armagh City Banbridge and Craigavon,124268
2019-08-01,Armagh City Banbridge and Craigavon,124268
2019-09-01,Armagh City Banbridge and Craigavon,124268
2019-10-01,Armagh City Banbridge and Craigavon,124039
2019-11-01,Armagh City Banbridge and Craigavon,124039
2019-12-01,Armagh City Banbridge and Craigavon,124039
2020-01-01,Armagh City Banbridge and Craigavon,124618
2020-02-01,Armagh City Banbridge and Craigavon,124618
2020-03-01,Armagh City Banbridge and Craigavon,124618
2020-04-01,Armagh City Banbridge and Craigavon,125312
2020-05-01,Armagh City Banbridge and Craigavon,125312
2020-06-01,Armagh City Banbridge and Craigavon,125312
2020-07-01,Armagh City Banbridge and Craigavon,126736
2020-08-01,Armagh City Banbridge and Craigavon,126736
2020-09-01,Armagh City Banbridge and Craigavon,126736
2020-10-01,Armagh City Banbridge and Craigavon,128989
2020-11-01,Armagh City Banbridge and Craigavon,128989
2020-12-01,Armagh City Banbridge and Craigavon,128989
2021-01-01,Armagh City Banbridge and Craigavon,128520
2021-02-01,Armagh City Banbridge and Craigavon,128520
2021-03-01,Armagh City Banbridge and Craigavon,128520
2021-04-01,Armagh City Banbridge and Craigavon,135609
2021-05-01,Armagh City Banbridge and Craigavon,135609
2021-06-01,Armagh City Banbridge and Craigavon,135609
2021-07-01,Armagh City Banbridge and Craigavon,140983
2021-08-01,Armagh City Banbridge and Craigavon,140983
2021-09-01,Armagh City Banbridge and Craigavon,140983
2021-10-01,Armagh City Banbridge and Craigavon,140983
2021-11-01,Armagh City Banbridge and Craigavon,140983
2019-01-01,Blaenau Gwent,88346
2019-02-01,Blaenau Gwent,90610
2019-03-01,Blaenau Gwent,93074
2019-04-01,Blaenau Gwent,92884
2019-05-01,Blaenau Gwent,90473
2019-06-01,Blaenau Gwent,90322
2019-07-01,Blaenau Gwent,92174
2019-08-01,Blaenau Gwent,95174
2019-09-01,Blaenau Gwent,94553
2019-10-01,Blaenau Gwent,94053
2019-11-01,Blaenau Gwent,91772
2019-12-01,Blaenau Gwent,93288
2020-01-01,Blaenau Gwent,90884
2020-02-01,Blaenau Gwent,91222
2020-03-01,Blaenau Gwent,91795
2020-04-01,Blaenau Gwent,92437
2020-05-01,Blaenau Gwent,92196
2020-06-01,Blaenau Gwent,92712
2020-07-01,Blaenau Gwent,96423
2020-08-01,Blaenau Gwent,98874
2020-09-01,Blaenau Gwent,96966
2020-10-01,Blaenau Gwent,98816
2020-11-01,Blaenau Gwent,99562
2020-12-01,Blaenau Gwent,101855
2021-01-01,Blaenau Gwent,101708
2021-02-01,Blaenau Gwent,102734
2021-03-01,Blaenau Gwent,105189
2021-04-01,Blaenau Gwent,107348
2021-05-01,Blaenau Gwent,108556
2021-06-01,Blaenau Gwent,109735
2021-07-01,Blaenau Gwent,110510
2021-08-01,Blaenau Gwent,114065
2021-09-01,Blaenau Gwent,118462
2021-10-01,Blaenau Gwent,120209
2021-11-01,Blaenau Gwent,117731
2019-01-01,Dudley,173640
2019-02-01,Dudley,173915
2019-03-01,Dudley,174550
2019-04-01,Dudley,173488
2019-05-01,Dudley,175107
2019-06-01,Dudley,176554
2019-07-01,Dudley,179994
2019-08-01,Dudley,181776
2019-09-01,Dudley,182443
2019-10-01,Dudley,183252
2019-11-01,Dudley,182770
2019-12-01,Dudley,181918
2020-01-01,Dudley,180682
2020-02-01,Dudley,179523
2020-03-01,Dudley,177946
2020-04-01,Dudley,174172
2020-05-01,Dudley,175925
2020-06-01,Dudley,180967
2020-07-01,Dudley,186425
2020-08-01,Dudley,188739
2020-09-01,Dudley,187836
2020-10-01,Dudley,189843
2020-11-01,Dudley,190453
2020-12-01,Dudley,193180
2021-01-01,Dudley,195266
2021-02-01,Dudley,197048
2021-03-01,Dudley,198647
2021-04-01,Dudley,198332
2021-05-01,Dudley,200152
2021-06-01,Dudley,203453
2021-07-01,Dudley,205345
2021-08-01,Dudley,206152
2021-09-01,Dudley,206950
2021-10-01,Dudley,206314
2021-11-01,Dudley,208081
2019-01-01,Sandwell,149642
2019-02-01,Sandwell,151477
2019-03-01,Sandwell,150358
2019-04-01,Sandwell,149049
2019-05-01,Sandwell,149150
2019-06-01,Sandwell,148724
2019-07-01,Sandwell,151358
2019-08-01,Sandwell,151230
2019-09-01,Sandwell,154708
2019-10-01,Sandwell,155479
2019-11-01,Sandwell,155874
2019-12-01,Sandwell,154491
2020-01-01,Sandwell,155337
