Date,Year,NewReferrals
2019-01-01,Allerdale ,203245
2019-02-01,Allerdale ,156925
2019-03-01,Allerdale ,195287
2019-04-01,Allerdale ,179519
2019-05-01,Allerdale ,185819
2019-06-01,Allerdale ,176758
2019-07-01,Allerdale ,198154
2019-08-01,Allerdale ,217815
2019-09-01,Allerdale ,199967
2019-10-01,Allerdale ,178698
2019-11-01,Allerdale ,164170
2019-12-01,Allerdale ,199335
2020-01-01,Allerdale ,198823
2020-02-01,Allerdale ,166374
2020-03-01,Allerdale ,189380
2020-04-01,Allerdale ,158805
2020-05-01,Allerdale ,185671
2020-06-01,Allerdale ,190684
2020-07-01,Allerdale ,201627
2020-08-01,Allerdale ,175503
2020-09-01,Allerdale ,198125
2020-10-01,Allerdale ,194249
2020-11-01,Allerdale ,206404
2020-12-01,Allerdale ,244443
2021-01-01,Allerdale ,213776
2021-02-01,Allerdale ,225980
2021-03-01,Allerdale ,231717
2021-04-01,Allerdale ,185150
2021-05-01,Allerdale ,197612
2021-06-01,Allerdale ,220180
2021-07-01,Allerdale ,169749
2021-08-01,Allerdale ,157332
2021-09-01,Allerdale ,164121
2021-10-01,Allerdale ,154122
2021-11-01,Allerdale ,169000
2019-01-01,Brighton and Hove,368748
2019-02-01,Brighton and Hove,361212
2019-03-01,Brighton and Hove,354520
2019-04-01,Brighton and Hove,355471
2019-05-01,Brighton and Hove,358564
2019-06-01,Brighton and Hove,364325
2019-07-01,Brighton and Hove,363731
2019-08-01,Brighton and Hove,364476
2019-09-01,Brighton and Hove,362961
2019-10-01,Brighton and Hove,361863
2019-11-01,Brighton and Hove,363674
2019-12-01,Brighton and Hove,361242
2020-01-01,Brighton and Hove,364109
2020-02-01,Brighton and Hove,360279
2020-03-01,Brighton and Hove,362205
2020-04-01,Brighton and Hove,360182
2020-05-01,Brighton and Hove,363485
2020-06-01,Brighton and Hove,363593
2020-07-01,Brighton and Hove,368203
2020-08-01,Brighton and Hove,371156
2020-09-01,Brighton and Hove,372472
2020-10-01,Brighton and Hove,374716
2020-11-01,Brighton and Hove,378374
