CCGName,Region,pcApr19Apr20,imdquantile,value,mean,meanimd,ols
.,.,.,0,.,.,.,-37.19594
NHS BARNSLEY CCG,YH,-.42284569,5,-42.284569,-.51586747,-.58121121,-59.810062
NHS BASILDON AND BRENTWOOD CCG,EE,-.34724858,2,-34.724857,-.51586747,-.48942262,-46.241589
NHS BASSETLAW CCG,EM,-.45718732,3,-45.718731,-.51586747,-.50672817,-50.764416
NHS BERKSHIRE WEST CCG,SE,-.38358861,1,-38.35886,-.51586747,-.38126296,-41.718765
NHS BIRMINGHAM AND SOLIHULL CCG,WM,-.60518521,5,-60.51852,-.51586747,-.58121121,-59.810062
NHS BLACKBURN WITH DARWEN CCG,NW,-.49565497,5,-49.565498,-.51586747,-.58121121,-59.810062
NHS BLACKPOOL CCG,NW,-.55860806,5,-55.860806,-.51586747,-.58121121,-59.810062
NHS BOLTON CCG,NW,-.55037963,4,-55.037964,-.51586747,-.57931763,-55.287239
NHS BRIGHTON AND HOVE CCG,SE,-.18343076,3,-18.343077,-.51586747,-.50672817,-50.764416
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",SW,-.43539008,2,-43.539009,-.51586747,-.48942262,-46.241589
NHS BUCKINGHAMSHIRE CCG,SE,-.36754262,1,-36.754261,-.51586747,-.38126296,-41.718765
NHS BURY CCG,NW,-.68798751,3,-68.798752,-.51586747,-.50672817,-50.764416
NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,EE,-.54833966,2,-54.833965,-.51586747,-.48942262,-46.241589
NHS CANNOCK CHASE CCG,WM,-.60660982,3,-60.66098,-.51586747,-.50672817,-50.764416
NHS CASTLE POINT AND ROCHFORD CCG,EE,-.42608699,1,-42.6087,-.51586747,-.38126296,-41.718765
NHS CHORLEY AND SOUTH RIBBLE CCG,NW,-.46067998,2,-46.067997,-.51586747,-.48942262,-46.241589
NHS DERBY AND DERBYSHIRE CCG,EM,-.50661302,3,-50.661301,-.51586747,-.50672817,-50.764416
NHS DEVON CCG,SW,-.556701,3,-55.670101,-.51586747,-.50672817,-50.764416
NHS DONCASTER CCG,YH,-.5226438,5,-52.264381,-.51586747,-.58121121,-59.810062
NHS DORSET CCG,SW,-.51191819,2,-51.191818,-.51586747,-.48942262,-46.241589
NHS EAST AND NORTH HERTFORDSHIRE CCG,EE,-.40656173,1,-40.656174,-.51586747,-.38126296,-41.718765
NHS EAST LANCASHIRE CCG,NW,-.53722662,4,-53.72266,-.51586747,-.57931763,-55.287239
NHS EAST LEICESTERSHIRE AND RUTLAND CCG,EM,-.3672654,1,-36.72654,-.51586747,-.38126296,-41.718765
NHS EAST RIDING OF YORKSHIRE CCG,YH,-.55645388,2,-55.64539,-.51586747,-.48942262,-46.241589
NHS EAST STAFFORDSHIRE CCG,WM,-.43027657,2,-43.027657,-.51586747,-.48942262,-46.241589
NHS FYLDE AND WYRE CCG,NW,-.54471242,2,-54.471241,-.51586747,-.48942262,-46.241589
NHS GLOUCESTERSHIRE CCG,SW,-.47691846,1,-47.691845,-.51586747,-.38126296,-41.718765
NHS GREATER PRESTON CCG,NW,-.44031402,3,-44.031403,-.51586747,-.50672817,-50.764416
NHS HALTON CCG,NW,-.55980861,5,-55.980862,-.51586747,-.58121121,-59.810062
NHS HERTS VALLEYS CCG,EE,-.22416329,1,-22.416328,-.51586747,-.38126296,-41.718765
"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",NW,-.65193158,5,-65.193161,-.51586747,-.58121121,-59.810062
NHS HULL CCG,YH,-.58244574,5,-58.244576,-.51586747,-.58121121,-59.810062
NHS IPSWICH AND EAST SUFFOLK CCG,EE,-.532915,2,-53.2915,-.51586747,-.48942262,-46.241589
NHS KERNOW CCG,SW,-.49800754,4,-49.800755,-.51586747,-.57931763,-55.287239
NHS KNOWSLEY CCG,NW,-.47906336,5,-47.906338,-.51586747,-.58121121,-59.810062
NHS LEEDS CCG,YH,-.4951652,4,-49.516521,-.51586747,-.57931763,-55.287239
NHS LEICESTER CITY CCG,EM,-.59973156,5,-59.973156,-.51586747,-.58121121,-59.810062
NHS LIVERPOOL CCG,NW,-.6006366,5,-60.06366,-.51586747,-.58121121,-59.810062
NHS MANCHESTER CCG,NW,-.42634046,5,-42.634045,-.51586747,-.58121121,-59.810062
NHS MORECAMBE BAY CCG,NW,-.59551007,3,-59.551006,-.51586747,-.50672817,-50.764416
NHS NEWCASTLE GATESHEAD CCG,NE,-.65177608,4,-65.177605,-.51586747,-.57931763,-55.287239
NHS NORTH CUMBRIA CCG,NW,-.37003762,3,-37.003761,-.51586747,-.50672817,-50.764416
NHS NORTH EAST ESSEX CCG,EE,-.62420702,3,-62.4207,-.51586747,-.50672817,-50.764416
NHS NORTH EAST LINCOLNSHIRE CCG,YH,-.48026496,4,-48.026497,-.51586747,-.57931763,-55.287239
NHS NORTH LINCOLNSHIRE CCG,YH,-.47493917,3,-47.493916,-.51586747,-.50672817,-50.764416
NHS NORTH STAFFORDSHIRE CCG,WM,-.56423903,2,-56.423904,-.51586747,-.48942262,-46.241589
NHS NORTH TYNESIDE CCG,NE,-.60239953,3,-60.239952,-.51586747,-.50672817,-50.764416
NHS NORTHUMBERLAND CCG,NE,-.62985194,3,-62.985195,-.51586747,-.50672817,-50.764416
NHS OLDHAM CCG,NW,-.72845954,5,-72.845955,-.51586747,-.58121121,-59.810062
NHS OXFORDSHIRE CCG,SE,-.41439226,1,-41.439228,-.51586747,-.38126296,-41.718765
NHS PORTSMOUTH CCG,SE,-.54147226,4,-54.147224,-.51586747,-.57931763,-55.287239
NHS ROTHERHAM CCG,YH,-.7737307,4,-77.37307,-.51586747,-.57931763,-55.287239
NHS SALFORD CCG,NW,-.53079367,5,-53.079369,-.51586747,-.58121121,-59.810062
NHS SHEFFIELD CCG,YH,-.75785446,4,-75.785446,-.51586747,-.57931763,-55.287239
NHS SOMERSET CCG,SW,-.48088217,3,-48.088219,-.51586747,-.50672817,-50.764416
NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG,WM,-.54016733,2,-54.016731,-.51586747,-.48942262,-46.241589
NHS SOUTH SEFTON CCG,NW,-.52060026,5,-52.060024,-.51586747,-.58121121,-59.810062
NHS SOUTH TYNESIDE CCG,NE,-.88249159,5,-88.249161,-.51586747,-.58121121,-59.810062
NHS SOUTHEND CCG,EE,-.5216378,3,-52.16378,-.51586747,-.50672817,-50.764416
NHS SOUTHPORT AND FORMBY CCG,NW,-.57133937,3,-57.133938,-.51586747,-.50672817,-50.764416
NHS ST HELENS CCG,NW,-.60491341,5,-60.491341,-.51586747,-.58121121,-59.810062
NHS STAFFORD AND SURROUNDS CCG,WM,-.30933249,1,-30.933249,-.51586747,-.38126296,-41.718765
NHS STOCKPORT CCG,NW,-.42125237,3,-42.125237,-.51586747,-.50672817,-50.764416
NHS STOKE ON TRENT CCG,WM,-.55390191,5,-55.39019,-.51586747,-.58121121,-59.810062
NHS SUNDERLAND CCG,NE,-.89652252,5,-89.652252,-.51586747,-.58121121,-59.810062
NHS TAMESIDE AND GLOSSOP CCG,NW,-.40164512,5,-40.164513,-.51586747,-.58121121,-59.810062
NHS THURROCK CCG,EE,-.39020658,3,-39.020657,-.51586747,-.50672817,-50.764416
NHS TRAFFORD CCG,NW,-.56144285,2,-56.144287,-.51586747,-.48942262,-46.241589
NHS VALE OF YORK CCG,YH,-.34814814,1,-34.814816,-.51586747,-.38126296,-41.718765
NHS WAKEFIELD CCG,YH,-.53778356,4,-53.778355,-.51586747,-.57931763,-55.287239
NHS WARRINGTON CCG,NW,-.51664388,2,-51.664387,-.51586747,-.48942262,-46.241589
NHS WEST ESSEX CCG,EE,-.41866615,2,-41.866615,-.51586747,-.48942262,-46.241589
NHS WEST LANCASHIRE CCG,NW,-.26075733,2,-26.075733,-.51586747,-.48942262,-46.241589
NHS WEST LEICESTERSHIRE CCG,EM,-.46989247,1,-46.989246,-.51586747,-.38126296,-41.718765
NHS WEST SUFFOLK CCG,EE,-.60091114,2,-60.091114,-.51586747,-.48942262,-46.241589
NHS WIGAN BOROUGH CCG,NW,-.52617711,4,-52.61771,-.51586747,-.57931763,-55.287239
NHS WIRRAL CCG,NW,-.60197318,4,-60.197319,-.51586747,-.57931763,-55.287239
