CCGName,pcApr19Apr20,pcApr19Apr21,imdquantile,value,Region,ols
NHS BARNSLEY CCG,-.27140853,-.048191294,5,-27.140852,YH,-10.753942
NHS BASILDON AND BRENTWOOD CCG,-.57639265,.039895471,2,-57.639267,EE,-9.8986225
NHS BASSETLAW CCG,-.16010666,.18510088,3,-16.010666,EM,-10.183729
NHS BERKSHIRE WEST CCG,-.049150601,.272479,1,-4.91506,SE,-9.6135159
NHS BIRMINGHAM AND SOLIHULL CCG,-.056407616,.40959117,5,-5.6407614,WM,-10.753942
NHS BLACKBURN WITH DARWEN CCG,-.16398686,.053897113,5,-16.398685,NW,-10.753942
NHS BLACKPOOL CCG,-.071356446,.17899828,5,-7.1356444,NW,-10.753942
NHS BOLTON CCG,-.14832436,.11862724,4,-14.832436,NW,-10.468836
NHS BRIGHTON AND HOVE CCG,-.25925264,.027380126,3,-25.925264,SE,-10.183729
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",-.080961227,.16570562,2,-8.0961227,SW,-9.8986225
NHS BUCKINGHAMSHIRE CCG,-.078507043,.14103009,1,-7.8507042,SE,-9.6135159
NHS BURY CCG,.026051385,.29508778,3,2.6051385,NW,-10.183729
NHS CALDERDALE CCG,-.24822386,.2165039,4,-24.822386,YH,-10.468836
NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,-.53609276,.12838674,2,-53.609276,EE,-9.8986225
NHS CANNOCK CHASE CCG,-.059719741,.20322219,3,-5.9719744,WM,-10.183729
NHS CASTLE POINT AND ROCHFORD CCG,-.14346932,.099922858,1,-14.346931,EE,-9.6135159
NHS CHORLEY AND SOUTH RIBBLE CCG,-.069447428,.22250083,2,-6.9447427,NW,-9.8986225
NHS DERBY AND DERBYSHIRE CCG,-.069254182,.14841218,3,-6.9254184,EM,-10.183729
NHS DEVON CCG,-.014111986,.32804105,3,-1.4111986,SW,-10.183729
NHS DONCASTER CCG,-.19188143,.1025781,5,-19.188143,YH,-10.753942
NHS DORSET CCG,-.10365456,.099960409,2,-10.365457,SW,-9.8986225
NHS EAST AND NORTH HERTFORDSHIRE CCG,.13087417,.19666548,1,13.087418,EE,-9.6135159
NHS EAST LANCASHIRE CCG,-.17031586,.023375792,4,-17.031586,NW,-10.468836
NHS EAST LEICESTERSHIRE AND RUTLAND CCG,-.045611512,.28613004,1,-4.561151,EM,-9.6135159
NHS EAST RIDING OF YORKSHIRE CCG,-.064548276,.10297758,2,-6.4548278,YH,-9.8986225
NHS EAST STAFFORDSHIRE CCG,.063195772,.28201196,2,6.3195772,WM,-9.8986225
NHS FYLDE AND WYRE CCG,-.041186161,.22074588,2,-4.1186161,NW,-9.8986225
NHS GLOUCESTERSHIRE CCG,-.15402068,-.0024356609,1,-15.402068,SW,-9.6135159
NHS GREATER PRESTON CCG,-.11958963,.23936833,3,-11.958963,NW,-10.183729
NHS HALTON CCG,-.11227349,.060465116,5,-11.227349,NW,-10.753942
NHS HERTS VALLEYS CCG,-.25326666,.14727865,1,-25.326666,EE,-9.6135159
"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",.012350394,.29551062,5,1.2350395,NW,-10.753942
NHS HULL CCG,-.037813682,.071332291,5,-3.7813683,YH,-10.753942
NHS IPSWICH AND EAST SUFFOLK CCG,-.0084890304,.10643899,2,-.84890306,EE,-9.8986225
NHS KERNOW CCG,-.073593684,.11651138,4,-7.3593683,SW,-10.468836
NHS KNOWSLEY CCG,-.011507687,.17042065,5,-1.1507688,NW,-10.753942
NHS LEEDS CCG,-.26615453,.091953173,4,-26.615452,YH,-10.468836
