Date, GDP_growth_rate, Country
01/01/2019,2, Sweden
01/04/2019,0.7, Sweden
01/07/2019,2.2, Sweden
01/10/2019,0.7, Sweden
01/01/2020,0.2, Sweden
01/04/2020,-7.6, Sweden
01/07/2020,-2, Sweden
01/10/2020,-1.5, Sweden
01/01/2021,-0.7, Sweden
01/04/2021,10.2, Sweden
01/01/2019,0.8, Denmark
01/04/2019,1, Denmark
01/07/2019,0.5, Denmark
01/10/2019,0, Denmark
01/01/2020,-1.5, Denmark
01/04/2020,-7.1, Denmark
01/07/2020,5.2, Denmark
01/10/2020,0.6, Denmark
01/01/2021,-0.4, Denmark
01/04/2021,2.8, Denmark
