Date,GDP_growth_rate,Country
2019-01-01,2,Sweden
2019-04-01,0.7,Sweden
2019-07-01,2.2,Sweden
2019-10-01,0.7,Sweden
2020-01-01,0.2,Sweden
2020-04-01,-7.6,Sweden
2020-07-01,-2,Sweden
2020-10-01,-1.5,Sweden
2021-01-01,-0.7,Sweden
2021-04-01,10.2,Sweden
2019-01-01,0.8,Denmark
2019-04-01,1,Denmark
2019-07-01,0.5,Denmark
2019-10-01,0,Denmark
2020-01-01,-1.5,Denmark
2020-04-01,-7.1,Denmark
2020-07-01,5.2,Denmark
2020-10-01,0.6,Denmark
2021-01-01,-0.4,Denmark
2021-04-01,2.8,Denmark
