country,code,year,outputsiderealgdppercapitagdppc_,meatfoodsupplyquantitykgcapitayr,ols
Albania,ALB,2017,11941.197,47.509998,41.912495
Algeria,DZA,2017,12323.576,18.059999,42.381062
Angola,AGO,2017,4993.8457,23.49,33.399208
Antigua and Barbuda,ATG,2017,7879.6758,72.040001,36.935505
Argentina,ARG,2017,16466.732,109.38,47.458084
Armenia,ARM,2017,10182.28,45.639999,39.757118
Australia,AUS,2017,47392.621,121.6,85.354668
Austria,AUT,2017,46103.27,87.220001,83.774696
Azerbaijan,AZE,2017,14504.942,34.080002,45.054108
Bahamas,BHS,2017,22026.313,67.040001,54.270794
Bangladesh,BGD,2017,3436.0527,4.04,31.49029
Barbados,BRB,2017,9272.5781,71.370003,38.642368
Belarus,BLR,2017,16843.686,81.459999,47.920002
Belgium,BEL,2017,38340.887,65.769997,74.262672
Belize,BLZ,2017,6777.0044,41.09,35.584293
Benin,BEN,2017,2113.9355,20.24,29.870167
Bolivia,BOL,2017,5838.0708,71.389999,34.433723
Bosnia and Herzegovina,BIH,2017,11572.854,36.029999,41.461124
Botswana,BWA,2017,14997.142,24.440001,45.657246
Brazil,BRA,2017,13812.992,99.830002,44.206192
Bulgaria,BGR,2017,18639.945,58.310001,50.12114
Burkina Faso,BFA,2017,1628.4565,12,29.275261
Cambodia,KHM,2017,3161.0571,12.34,31.153309
Cameroon,CMR,2017,3149.2612,11.98,31.138855
Canada,CAN,2017,42906.633,82.620003,79.857536
Cape Verde,CPV,2017,6968.6436,32.18,35.819126
Central African Republic,CAF,2017,727.28943,35.900002,28.170971
Chad,TCD,2017,1307.972,26.48,28.88254
Chile,CHL,2017,22728.875,83.160004,55.131714
China,CHN,2017,13042.646,60.59,43.262211
Colombia,COL,2017,12796.994,55.900002,42.961185
Congo,COG,2017,3726.6741,40.110001,31.846416
Costa Rica,CRI,2017,15043.887,53.549999,45.714527
Cote d'Ivoire,CIV,2017,3513.7544,12.38,31.585505
Croatia,HRV,2017,22995.551,75.290001,55.458496
Cyprus,CYP,2017,29228.803,72.82,63.096725
Czechia,CZE,2017,31140.898,82.779999,65.439804
Denmark,DNK,2017,45875.332,70.82,83.495384
Djibouti,DJI,2017,4048.0232,15.04,32.240196
Dominica,DMA,2017,7132.0698,55.02,36.01939
Dominican Republic,DOM,2017,14780.61,55.240002,45.391911
Ecuador,ECU,2017,9879.7666,45.220001,39.386417
Egypt,EGY,2017,11202.346,26.290001,41.007103
El Salvador,SLV,2017,6659.7993,30.52,35.44067
Estonia,EST,2017,25939.426,63.630001,59.065922
Eswatini,SWZ,2017,7309.0186,27.6,36.236221
Ethiopia,ETH,2017,1591.4904,5.4000001,29.229961
Fiji,FJI,2017,7600.8447,43.849998,36.593826
Finland,FIN,2017,39893.371,76.690002,76.165085
France,FRA,2017,39461.105,83.040001,75.635391
Gabon,GAB,2017,11803.617,59.200001,41.743904
Gambia,GMB,2017,2644.4087,7.8200002,30.520208
Georgia,GEO,2017,13077.325,31.83,43.304703
Germany,DEU,2017,47556,87.779999,85.554871
Ghana,GHA,2017,4988.8574,13.73,33.393097
Greece,GRC,2017,23765.188,71.690002,56.401611
Grenada,GRD,2017,11668.589,59.389999,41.578438
Guatemala,GTM,2017,7255.5654,36.389999,36.170719
Guinea,GIN,2017,2281.5024,13.05,30.075502
Guinea-Bissau,GNB,2017,1667.894,17.290001,29.323587
Haiti,HTI,2017,1668.6489,17.610001,29.324512
Honduras,HND,2017,4254.9927,33.09,32.493816
Hong Kong,HKG,2017,40584.477,137.07001,77.011963
Hungary,HUN,2017,22571.65,79.720001,54.939049
Iceland,ISL,2017,41306.172,91.010002,77.896332
India,IND,2017,6421.6704,3.78,35.148865
Indonesia,IDN,2017,10594.067,11.7,40.261719
Iran,IRN,2017,15964.644,35.98,46.842823
Iraq,IRQ,2017,15300.658,19.059999,46.029175
Ireland,IRL,2017,75916.094,78.68,120.30733
Israel,ISR,2017,36185.711,97.010002,71.621719
Italy,ITA,2017,37999.699,80.949997,73.844582
Jamaica,JAM,2017,6804.9565,58.959999,35.618546
Japan,JPN,2017,40373.75,49.330002,76.753738
Jordan,JOR,2017,8996.9414,37.91,38.304604
Kazakhstan,KAZ,2017,21053.27,64.879997,53.078426
Kenya,KEN,2017,3072.0334,15.94,31.04422
Kuwait,KWT,2017,39343.883,67.110001,75.491745
Kyrgyzstan,KGZ,2017,10572.493,30.459999,40.235283
Laos,LAO,2017,6518.4531,30.41,35.267464
Latvia,LVA,2017,24139.602,68.720001,56.860416
Lebanon,LBN,2017,15059.002,23.969999,45.733051
Lesotho,LSO,2017,3238.5508,19.530001,31.24827
Liberia,LBR,2017,760.73505,18.27,28.211954
Lithuania,LTU,2017,25992.143,81.269997,59.13052
Luxembourg,LUX,2017,74605.234,80.07,118.701
Macao,MAC,2017,82995.453,103.14,128.98238
Madagascar,MDG,2017,1591.5533,12.34,29.23004
Malawi,MWI,2017,1038.3186,20.34,28.552105
Malaysia,MYS,2017,22775.844,52.889999,55.18927
Maldives,MDV,2017,13829.851,20.610001,44.226849
Mali,MLI,2017,2334.3462,23.68,30.140257
Malta,MLT,2017,30830.996,82.050003,65.060051
Mauritania,MRT,2017,2988.7908,31.059999,30.942215
Mauritius,MUS,2017,22827.002,50.889999,55.251957
Mexico,MEX,2017,17382.658,64.870003,48.58046
Moldova,MDA,2017,5988.9336,38.119999,34.618587
Mongolia,MNG,2017,10716.021,88.370003,40.411163
Montenegro,MNE,2017,17888.533,73,49.200359
Morocco,MAR,2017,8265.6484,35.119999,37.408478
Mozambique,MOZ,2017,1376.5532,9.3900003,28.966578
Myanmar,MMR,2017,5730.1064,58.240002,34.301422
Namibia,NAM,2017,10301.676,30.530001,39.903423
Nepal,NPL,2017,2720.2031,13.55,30.613087
Netherlands,NLD,2017,46601.563,75.809998,84.385307
New Zealand,NZL,2017,36537.797,100.89,72.053162
Nicaragua,NIC,2017,5209.7212,30.82,33.663742
Niger,NER,2017,908.6496,12.75,28.393209
Nigeria,NGA,2017,4285.0645,7.1500001,32.530666
North Macedonia,MKD,2017,13396.587,36.619999,43.695927
Norway,NOR,2017,60590.25,67.459999,101.52704
Oman,OMN,2017,27338.375,43.34,60.780197
Pakistan,PAK,2017,5303.3789,16.870001,33.778511
Panama,PAN,2017,21928.211,65.010002,54.150581
Paraguay,PRY,2017,8135.3369,54.060001,37.248791
Peru,PER,2017,11370.371,24.41,41.213001
Philippines,PHL,2017,7679.1758,37.040001,36.689812
Poland,POL,2017,26636.91,88.699997,59.92062
Portugal,PRT,2017,24309.6,94.059998,57.068733
Romania,ROU,2017,24348.965,63.91,57.11697
Russia,RUS,2017,22580.941,76.610001,54.950436
Rwanda,RWA,2017,1997.6191,9.0799999,29.727633
Saint Kitts and Nevis,KNA,2017,19235.061,82.5,50.850391
Saint Lucia,LCA,2017,7909.0635,90.889999,36.971516
Saint Vincent and the Grenadines,VCT,2017,8145.957,91.040001,37.261806
Sao Tome and Principe,STP,2017,3541.9373,14.81,31.620041
Saudi Arabia,SAU,2017,38548.086,54.119999,74.516571
Senegal,SEN,2017,3208.1443,14.13,31.21101
Serbia,SRB,2017,14027.709,53.48,44.469303
Sierra Leone,SLE,2017,1394.4885,8.2299995,28.988556
Slovakia,SVK,2017,24923.85,59.34,57.821434
Slovenia,SVN,2017,28234.734,76.389999,61.878593
South Africa,ZAF,2017,11741.271,60.02,41.667503
South Korea,KOR,2017,36264.551,70.699997,71.71833
Spain,ESP,2017,35696.117,100.25,71.021774
Sri Lanka,LKA,2017,12696.964,9.04,42.838612
Sudan,SDN,2017,4391.0371,21.389999,32.660526
Suriname,SUR,2017,11815.036,42.400002,41.757896
Sweden,SWE,2017,43375.883,77.059998,80.432556
