areaCode,areaName,areaType,date,newCasesByPublishDateRollingRate
K02000001,United Kingdom,overview,2021-10-09,382.6
K02000001,United Kingdom,overview,2021-10-08,375.7
K02000001,United Kingdom,overview,2021-10-07,366.4
K02000001,United Kingdom,overview,2021-10-06,360.2
K02000001,United Kingdom,overview,2021-10-05,355.5
K02000001,United Kingdom,overview,2021-10-04,356.5
K02000001,United Kingdom,overview,2021-10-03,360.8
K02000001,United Kingdom,overview,2021-10-02,363.7
K02000001,United Kingdom,overview,2021-10-01,366.9
K02000001,United Kingdom,overview,2021-09-30,367
K02000001,United Kingdom,overview,2021-09-29,367.4
K02000001,United Kingdom,overview,2021-09-28,364
K02000001,United Kingdom,overview,2021-09-27,359.6
K02000001,United Kingdom,overview,2021-09-26,356.8
K02000001,United Kingdom,overview,2021-09-25,352.6
K02000001,United Kingdom,overview,2021-09-24,349.1
K02000001,United Kingdom,overview,2021-09-23,344.7
K02000001,United Kingdom,overview,2021-09-22,330.1
K02000001,United Kingdom,overview,2021-09-21,324.4
K02000001,United Kingdom,overview,2021-09-20,317
K02000001,United Kingdom,overview,2021-09-19,309.1
K02000001,United Kingdom,overview,2021-09-18,308.5
K02000001,United Kingdom,overview,2021-09-17,307.6
K02000001,United Kingdom,overview,2021-09-16,315
K02000001,United Kingdom,overview,2021-09-15,331.5
K02000001,United Kingdom,overview,2021-09-14,344
K02000001,United Kingdom,overview,2021-09-13,360.2
K02000001,United Kingdom,overview,2021-09-12,375.7
K02000001,United Kingdom,overview,2021-09-11,387.4
K02000001,United Kingdom,overview,2021-09-10,399.3
K02000001,United Kingdom,overview,2021-09-09,406
K02000001,United Kingdom,overview,2021-09-08,406.2
K02000001,United Kingdom,overview,2021-09-07,401.3
K02000001,United Kingdom,overview,2021-09-06,393.4
K02000001,United Kingdom,overview,2021-09-05,371.4
K02000001,United Kingdom,overview,2021-09-04,365.8
K02000001,United Kingdom,overview,2021-09-03,358
K02000001,United Kingdom,overview,2021-09-02,352
K02000001,United Kingdom,overview,2021-09-01,352.2
K02000001,United Kingdom,overview,2021-08-31,352.5
K02000001,United Kingdom,overview,2021-08-30,350.5
K02000001,United Kingdom,overview,2021-08-29,358.6
K02000001,United Kingdom,overview,2021-08-28,357.2
K02000001,United Kingdom,overview,2021-08-27,356.6
K02000001,United Kingdom,overview,2021-08-26,355.5
K02000001,United Kingdom,overview,2021-08-25,353
K02000001,United Kingdom,overview,2021-08-24,350.1
K02000001,United Kingdom,overview,2021-08-23,344.2
K02000001,United Kingdom,overview,2021-08-22,339
K02000001,United Kingdom,overview,2021-08-21,330.8
K02000001,United Kingdom,overview,2021-08-20,327
K02000001,United Kingdom,overview,2021-08-19,320.1
K02000001,United Kingdom,overview,2021-08-18,314.9
K02000001,United Kingdom,overview,2021-08-17,308.5
K02000001,United Kingdom,overview,2021-08-16,303.5
K02000001,United Kingdom,overview,2021-08-15,298.6
K02000001,United Kingdom,overview,2021-08-14,299.6
K02000001,United Kingdom,overview,2021-08-13,298.3
K02000001,United Kingdom,overview,2021-08-12,297
K02000001,United Kingdom,overview,2021-08-11,292.7
K02000001,United Kingdom,overview,2021-08-10,292.3
K02000001,United Kingdom,overview,2021-08-09,289.5
K02000001,United Kingdom,overview,2021-08-08,284.8
K02000001,United Kingdom,overview,2021-08-07,280.3
K02000001,United Kingdom,overview,2021-08-06,276.7
K02000001,United Kingdom,overview,2021-08-05,273.4
K02000001,United Kingdom,overview,2021-08-04,274.8
K02000001,United Kingdom,overview,2021-08-03,272.4
K02000001,United Kingdom,overview,2021-08-02,275.1
K02000001,United Kingdom,overview,2021-08-01,279.6
K02000001,United Kingdom,overview,2021-07-31,286.6
K02000001,United Kingdom,overview,2021-07-30,295
K02000001,United Kingdom,overview,2021-07-29,305.1
K02000001,United Kingdom,overview,2021-07-28,318.2
K02000001,United Kingdom,overview,2021-07-27,342.6
K02000001,United Kingdom,overview,2021-07-26,377
K02000001,United Kingdom,overview,2021-07-25,399.3
K02000001,United Kingdom,overview,2021-07-24,427.6
K02000001,United Kingdom,overview,2021-07-23,461.7
K02000001,United Kingdom,overview,2021-07-22,484.8
K02000001,United Kingdom,overview,2021-07-21,497.7
K02000001,United Kingdom,overview,2021-07-20,495
K02000001,United Kingdom,overview,2021-07-19,480.3
K02000001,United Kingdom,overview,2021-07-18,472.1
K02000001,United Kingdom,overview,2021-07-17,447.7
K02000001,United Kingdom,overview,2021-07-16,414.4
K02000001,United Kingdom,overview,2021-07-15,390.3
K02000001,United Kingdom,overview,2021-07-14,366.5
K02000001,United Kingdom,overview,2021-07-13,351.9
K02000001,United Kingdom,overview,2021-07-12,340.2
K02000001,United Kingdom,overview,2021-07-11,329.5
K02000001,United Kingdom,overview,2021-07-10,318.3
K02000001,United Kingdom,overview,2021-07-09,307.2
K02000001,United Kingdom,overview,2021-07-08,294.4
K02000001,United Kingdom,overview,2021-07-07,287.6
K02000001,United Kingdom,overview,2021-07-06,277.9
K02000001,United Kingdom,overview,2021-07-05,265.5
