Date,NewReferrals,Year,Month,MonthCode
4/1/2016,1583739,2016,Apr,4
5/1/2016,1550496,2016,May,5
6/1/2016,1601725,2016,Jun,6
7/1/2016,1532038,2016,Jul,7
8/1/2016,1532416,2016,Aug,8
9/1/2016,1588655,2016,Sep,9
10/1/2016,1573928,2016,Oct,10
11/1/2016,1657024,2016,Nov,11
12/1/2016,1398622,2016,Dec,12
1/1/2017,1588726,2017,Jan,1
2/1/2017,1532687,2017,Feb,2
3/1/2017,1787232,2017,Mar,3
4/1/2017,1436983,2017,Apr,4
5/1/2017,1666097,2017,May,5
6/1/2017,1711834,2017,Jun,6
7/1/2017,1625701,2017,Jul,7
8/1/2017,1612863,2017,Aug,8
9/1/2017,1568564,2017,Sep,9
10/1/2017,1669601,2017,Oct,10
11/1/2017,1644925,2017,Nov,11
12/1/2017,1336987,2017,Dec,12
1/1/2018,1657878,2018,Jan,1
2/1/2018,1522794,2018,Feb,2
3/1/2018,1633324,2018,Mar,3
4/1/2018,1640427,2018,Apr,4
5/1/2018,1746208,2018,May,5
6/1/2018,1675427,2018,Jun,6
7/1/2018,1714390,2018,Jul,7
8/1/2018,1634177,2018,Aug,8
9/1/2018,1553736,2018,Sep,9
10/1/2018,1841759,2018,Oct,10
11/1/2018,1757848,2018,Nov,11
12/1/2018,1431137,2018,Dec,12
1/1/2019,1794128,2019,Jan,1
2/1/2019,1638322,2019,Feb,2
3/1/2019,1741493,2019,Mar,3
4/1/2019,1656081,2019,Apr,4
5/1/2019,1755805,2019,May,5
6/1/2019,1641179,2019,Jun,6
7/1/2019,1801797,2019,Jul,7
8/1/2019,1577132,2019,Aug,8
9/1/2019,1637851,2019,Sep,9
10/1/2019,1815462,2019,Oct,10
11/1/2019,1659986,2019,Nov,11
12/1/2019,1462659,2019,Dec,12
1/1/2020,1741424,2020,Jan,1
2/1/2020,1603378,2020,Feb,2
3/1/2020,1220636,2020,Mar,3
4/1/2020,491101,2020,Apr,4
5/1/2020,626540,2020,May,5
6/1/2020,939450,2020,Jun,6
7/1/2020,1178528,2020,Jul,7
8/1/2020,1114414,2020,Aug,8
9/1/2020,1332834,2020,Sep,9
10/1/2020,1393861,2020,Oct,10
11/1/2020,1348049,2020,Nov,11
12/1/2020,1260501,2020,Dec,12
1/1/2021,1185074,2021,Jan,1
2/1/2021,1253853,2021,Feb,2
3/1/2021,1614201,2021,Mar,3
4/1/2021,1495260,2021,Apr,4
5/1/2021,1514939,2021,May,5
6/1/2021,1676342,2021,Jun,6
7/1/2021,1604888,2021,Jul,7
8/1/2021,1469370,2021,Aug,8
